Sample_name,Length_mean,Length_SD,water,temp,timepoint,treat,Chamber
BF14_0hpi_20x_stack1,209.5043135,22.97483285,HMR,14,0hpi,HMR_14,BF14
BF14_0hpi_20x_stack10,227.812136,14.10766656,HMR,14,0hpi,HMR_14,BF14
BF14_0hpi_20x_stack2,202.4636087,30.17911035,HMR,14,0hpi,HMR_14,BF14
BF14_0hpi_20x_stack3,183.5089641,12.35606966,HMR,14,0hpi,HMR_14,BF14
BF14_0hpi_20x_stack4,218.552111,14.99931006,HMR,14,0hpi,HMR_14,BF14
BF14_0hpi_20x_stack5,238.017079,12.20322349,HMR,14,0hpi,HMR_14,BF14
BF14_0hpi_20x_stack6,188.1661957,19.70045275,HMR,14,0hpi,HMR_14,BF14
BF14_0hpi_20x_stack7,228.1105587,17.47310822,HMR,14,0hpi,HMR_14,BF14
BF14_0hpi_20x_stack8,249.0504575,10.28419006,HMR,14,0hpi,HMR_14,BF14
BF14_0hpi_20x_stack9,218.1087553,18.7591828,HMR,14,0hpi,HMR_14,BF14
BF18_0hpi_20x_stack1,235.3249205,24.21498076,HMR,18,0hpi,HMR_18,BF18
BF18_0hpi_20x_stack10,200.9605913,11.44966433,HMR,18,0hpi,HMR_18,BF18
BF18_0hpi_20x_stack2,219.093611,22.23921114,HMR,18,0hpi,HMR_18,BF18
BF18_0hpi_20x_stack3,256.4335558,11.72667102,HMR,18,0hpi,HMR_18,BF18
BF18_0hpi_20x_stack4,214.6918272,18.23288977,HMR,18,0hpi,HMR_18,BF18
BF18_0hpi_20x_stack5,208.3607901,43.65356814,HMR,18,0hpi,HMR_18,BF18
BF18_0hpi_20x_stack6,190.740131,30.17182968,HMR,18,0hpi,HMR_18,BF18
BF18_0hpi_20x_stack7,217.7246621,20.29759969,HMR,18,0hpi,HMR_18,BF18
BF18_0hpi_20x_stack8,200.8482045,16.64817088,HMR,18,0hpi,HMR_18,BF18
BS14_0hpi_40x_stack1,197.9398713,11.79707852,LMR,14,0hpi,LMR_14,BS14
BS14_0hpi_40x_stack2,211.0520341,17.58880305,LMR,14,0hpi,LMR_14,BS14
BS14_0hpi_40x_stack3,207.2719919,23.25388297,LMR,14,0hpi,LMR_14,BS14
BS14_0hpi_40x_stack4,205.6042195,14.59683724,LMR,14,0hpi,LMR_14,BS14
BS14_0hpi_40x_stack5,237.0856075,15.1761558,LMR,14,0hpi,LMR_14,BS14
BS14_0hpi_40x_stack6,204.0152594,26.25014403,LMR,14,0hpi,LMR_14,BS14
BS14_0hpi_40x_stack7,241.6027684,19.86967585,LMR,14,0hpi,LMR_14,BS14
BS14_0hpi_40x_stack8,223.8557229,11.35088352,LMR,14,0hpi,LMR_14,BS14
BS18_0hpi_20x_stack1,189.8284286,7.506184438,LMR,18,0hpi,LMR_18,BS18
BS18_0hpi_20x_stack10,197.1576201,13.13635042,LMR,18,0hpi,LMR_18,BS18
BS18_0hpi_20x_stack11,177.0129729,7.334432441,LMR,18,0hpi,LMR_18,BS18
