sample-id,chamber,day,temperature,type,medium
#q2:types,categorical,categorical,categorical,categorical,categorical
BF14_2dpf_L,bill,2,14,filtered,larval
BF14_2dpf_W,bill,2,14,filtered,water
BF14_4dpf_L,bill,4,14,filtered,larval
BF14_4dpf_W,bill,4,14,filtered,water
BF14_6dpf_L,bill,6,14,filtered,larval
BF14_6dpf_W,bill,6,14,filtered,water
BF18_2dpf_L,bill,2,18,filtered,larval
BF18_2dpf_W,bill,2,18,filtered,water
BF18_4dpf_L,bill,4,18,filtered,larval
BF18_4dpf_W,bill,4,18,filtered,water
BF18_6dpf_L,bill,6,18,filtered,larval
BF18_6dpf_W,bill,6,18,filtered,water
BHS18_2dpf_L,bill,2,18,sterile,larval
BS14_2dpf_L,bill,2,14,sterile,larval
BS14_4dpf_L,bill,4,14,sterile,larval
BS14_4dpf_W,bill,4,14,sterile,water
BS14_6dpf_L,bill,6,14,sterile,larval
BS14_6dpf_W,bill,6,14,sterile,water
BS18_2dpf_W,bill,2,18,sterile,water
BS18_4dpf_L,bill,4,18,sterile,larval
BS18_4dpf_W,bill,4,18,sterile,water
BS18_6dpf_L,bill,6,18,sterile,larval
BTS14_2dpf_W,bill,2,14,sterile,water
HF14_2dpf_L,harry,2,14,filtered,larval
HF14_2dpf_W,harry,2,14,filtered,water
HF14_4dpf_L,harry,4,14,filtered,larval
HF14_4dpf_W,harry,4,14,filtered,water
HF14_6dpf_L,harry,6,14,filtered,larval
HF14_6dpf_W,harry,6,14,filtered,water
HF18_2dpf_L,harry,2,18,filtered,larval
HF18_2dpf_W,harry,2,18,filtered,water
HF18_4dpf_L,harry,4,18,filtered,larval
HF18_4dpf_W,harry,4,18,filtered,water
HF18_6dpf_L,harry,6,18,filtered,larval
HF18_6dpf_W,harry,6,18,filtered,water
HS14_2dpf_L,harry,2,14,sterile,larval
HS14_2dpf_W,harry,2,14,sterile,water
HS14_4dpf_L,harry,4,14,sterile,larval
HS14_4dpf_W,harry,4,14,sterile,water
HS14_6dpf_L,harry,6,14,sterile,larval
HS14_6dpf_W,harry,6,14,sterile,water
HS18_2dpf_W,harry,2,18,sterile,water
HS18_4dpf_L,harry,4,18,sterile,larval
HS18_4dpf_W,harry,4,18,sterile,water
HS18_6dpf_L,harry,6,18,sterile,larval
HS18_6dpf_W,harry,6,18,sterile,water
TF14_2dpf_L,tom,2,14,filtered,larval
TF14_2dpf_W,tom,2,14,filtered,water
TF14_4dpf_L,tom,4,14,filtered,larval
TF14_4dpf_W,tom,4,14,filtered,water
TF14_6dpf_L,tom,6,14,filtered,larval
TF14_6dpf_W,tom,6,14,filtered,water
TF18_2dpf_L,tom,2,18,filtered,larval
TF18_2dpf_W,tom,2,18,filtered,water
TF18_4dpf_L,tom,4,18,filtered,larval
TF18_4dpf_W,tom,4,18,filtered,water
TF18_6dpf_L,tom,6,18,filtered,larval
TF18_6dpf_W,tom,6,18,filtered,water
TS14_2dpf_L,tom,2,14,sterile,larval
TS14_4dpf_L,tom,4,14,sterile,larval
TS14_4dpf_W,tom,4,14,sterile,water
TS14_6dpf_L,tom,6,14,sterile,larval
TS14_6dpf_W,tom,6,14,sterile,water
TS18_2dpf_L,tom,2,18,sterile,larval
TS18_2dpf_W,tom,2,18,sterile,water
TS18_4dpf_L,tom,4,18,sterile,larval
TS18_4dpf_W,tom,4,18,sterile,water
TS18_6dpf_L,tom,6,18,sterile,larval
TS18_6dpf_W,tom,6,18,sterile,water
