Well,Sample,Cq
A01,S1,8.103621582
A02,S1,9.012317863
A03,S1,8.775810805
A04,,NaN
A05,SBS18,14.63549105
A06,SBS18,14.50243423
A07,SBS18,15.01507628
A08,,NaN
A09,MMWS18,14.75056288
A10,MMWS18,14.61037185
A11,MMWS18,14.73442007
A12,,NaN
B01,S2,15.20664909
B02,S2,15.05140608
B03,S2,15.07640054
B04,,NaN
B05,SBF18,14.35253008
B06,SBF18,14.27034747
B07,SBF18,14.30221465
B08,,NaN
B09,MMWF18,13.17498935
B10,MMWF18,13.25258582
B11,MMWF18,13.29793627
B12,,NaN
C01,S3,19.02130124
C02,S3,19.17808543
C03,S3,18.96073167
C04,,NaN
C05,SBS14,14.91375024
C06,SBS14,14.91438218
C07,SBS14,14.91851063
C08,,NaN
C09,MMWS14,14.60959597
C10,MMWS14,14.78132836
C11,MMWS14,14.65744335
C12,,NaN
D01,S4,23.49703555
D02,S4,23.42080682
D03,S4,23.3746181
D04,,NaN
D05,SBF14,15.07243347
D06,SBF14,15.20164944
D07,SBF14,15.11781964
D08,,NaN
D09,MMWF14,13.10114004
D10,MMWF14,13.15857842
D11,MMWF14,13.02272865
D12,,NaN
E01,S5,27.72355945
E02,S5,27.7649729
E03,S5,27.71775353
E04,,NaN
E05,MBS18,14.06516891
E06,MBS18,14.07633285
E07,MBS18,13.92258948
E08,,NaN
E09,,NaN
E10,,NaN
E11,,NaN
E12,,NaN
F01,S6,32.16545248
F02,S6,31.87220393
F03,S6,31.73608386
F04,,NaN
F05,MBF18,15.04856602
F06,MBF18,15.04399586
F07,MBF18,15.10517781
F08,,NaN
F09,,NaN
F10,,NaN
F11,,NaN
F12,,NaN
G01,,NaN
G02,,NaN
G03,,NaN
G04,,NaN
G05,MBS14,14.59717512
G06,MBS14,14.66652915
G07,MBS14,14.70689389
G08,,NaN
G09,,NaN
G10,,NaN
G11,,NaN
G12,,NaN
H01,Neg Control,35.57264049
H02,Neg Control,35.69955862
H03,Neg Control,35.05097121
H04,,NaN
H05,MBF14,14.24817851
H06,MBF14,14.2907001
H07,MBF14,14.18980874
H08,,NaN
H09,,NaN
H10,,NaN
H11,,NaN
H12,,NaN
